date,home,away,p_home,p_draw,p_away,model_version,result,outcome,log_loss,brier,hit,log_loss_acum,brier_acum,log_loss_uniforme
2026-06-11,South Korea,Czech Republic,0.445,0.269,0.286,0.2.0+nogit,2-1,local,0.8097,0.4622,True,0.8097,0.4622,1.0986
2026-06-11,Mexico,South Africa,0.6669,0.22,0.1131,0.2.0+nogit,2-0,local,0.4051,0.1721,True,0.6074,0.3172,1.0986
2026-06-12,Canada,Bosnia and Herzegovina,0.6658,0.2169,0.1173,0.2.0+nogit,1-1,empate,1.5283,1.0703,False,0.9144,0.5682,1.0986
2026-06-12,United States,Paraguay,0.3885,0.2744,0.3371,0.2.0+nogit,4-1,local,0.9455,0.5629,True,0.9221,0.5669,1.0986
2026-06-13,Qatar,Switzerland,0.1027,0.1963,0.701,0.2.0+nogit,1-1,empate,1.6281,1.1479,False,1.0633,0.6831,1.0986
2026-06-13,Australia,Turkey,0.359,0.2824,0.3586,0.2.0+nogit,2-0,local,1.0244,0.6192,True,1.0569,0.6724,1.0986
2026-06-13,Brazil,Morocco,0.336,0.2953,0.3687,0.2.0+nogit,1-1,empate,1.2198,0.7454,False,1.0801,0.6829,1.0986
2026-06-13,Haiti,Scotland,0.2949,0.266,0.4391,0.2.0+nogit,0-1,visita,0.823,0.4723,True,1.048,0.6565,1.0986
2026-06-14,Sweden,Tunisia,0.3505,0.2781,0.3713,0.2.0+nogit,5-1,local,1.0484,0.6371,False,1.048,0.6544,1.0986
2026-06-14,Netherlands,Japan,0.3239,0.2818,0.3942,0.2.0+nogit,2-2,empate,1.2666,0.7761,False,1.0699,0.6666,1.0986
2026-06-14,Ivory Coast,Ecuador,0.236,0.3154,0.4486,0.2.0+nogit,1-0,local,1.4439,0.8844,False,1.1039,0.6864,1.0986
2026-06-14,Germany,Curaçao,0.6937,0.1963,0.11,0.2.0+nogit,7-1,local,0.3657,0.1445,True,1.0424,0.6412,1.0986
2026-06-15,Belgium,Egypt,0.4759,0.2807,0.2434,0.2.0+nogit,1-1,empate,1.2705,0.8031,False,1.0599,0.6537,1.0986
2026-06-15,Saudi Arabia,Uruguay,0.1815,0.2849,0.5336,0.2.0+nogit,1-1,empate,1.2556,0.829,False,1.0739,0.6662,1.0986
2026-06-15,Spain,Cape Verde,0.7682,0.1666,0.0652,0.2.0+nogit,0-0,empate,1.7922,1.2889,False,1.1218,0.7077,1.0986
2026-06-15,Iran,New Zealand,0.5331,0.2559,0.211,0.2.0+nogit,2-2,empate,1.363,0.8824,False,1.1369,0.7186,1.0986
2026-06-16,Austria,Jordan,0.4826,0.2652,0.2523,0.2.0+nogit,3-1,local,0.7286,0.4017,True,1.1128,0.7,1.0986
2026-06-16,Argentina,Algeria,0.5556,0.2658,0.1786,0.2.0+nogit,3-0,local,0.5877,0.3,True,1.0837,0.6778,1.0986
2026-06-16,Iraq,Norway,0.1787,0.2589,0.5624,0.2.0+nogit,1-4,visita,0.5755,0.2905,True,1.0569,0.6574,1.0986
2026-06-16,France,Senegal,0.4641,0.2729,0.263,0.2.0+nogit,3-1,local,0.7677,0.4308,True,1.0425,0.646,1.0986
2026-06-17,Uzbekistan,Colombia,0.1956,0.2656,0.5388,0.2.0+nogit,1-3,visita,0.6184,0.3215,True,1.0223,0.6306,1.0986
2026-06-17,Portugal,DR Congo,0.5463,0.272,0.1817,0.2.0+nogit,1-1,empate,1.302,0.8614,False,1.035,0.6411,1.0986
2026-06-17,Ghana,Panama,0.2353,0.265,0.4997,0.2.0+nogit,1-0,local,1.4469,0.9047,False,1.0529,0.6525,1.0986
2026-06-17,England,Croatia,0.4817,0.2792,0.2391,0.2.0+nogit,4-2,local,0.7304,0.4038,True,1.0395,0.6422,1.0986
2026-06-18,Czech Republic,South Africa,0.4429,0.2808,0.2764,0.2.0+nogit,1-1,empate,1.2701,0.7898,False,1.0487,0.6481,1.0986
2026-06-18,Mexico,South Korea,0.5253,0.2584,0.2162,0.2.0+nogit,1-0,local,0.6438,0.3389,True,1.0331,0.6362,1.0986
2026-06-18,Switzerland,Bosnia and Herzegovina,0.6289,0.2298,0.1413,0.2.0+nogit,4-1,local,0.4638,0.2105,True,1.012,0.6204,1.0986
2026-06-18,Canada,Qatar,0.7345,0.1818,0.0837,0.2.0+nogit,6-0,local,0.3086,0.1105,True,0.9869,0.6022,1.0986
2026-06-19,United States,Australia,0.3555,0.2697,0.3748,0.2.0+nogit,2-0,local,1.0342,0.6286,False,0.9885,0.6031,1.0986
2026-06-19,Turkey,Paraguay,0.3892,0.2876,0.3233,0.2.0+nogit,0-1,visita,1.1292,0.6921,False,0.9932,0.6061,1.0986
2026-06-19,Brazil,Haiti,0.6385,0.2166,0.1448,0.2.0+nogit,3-0,local,0.4486,0.1986,True,0.9757,0.5929,1.0986
2026-06-19,Scotland,Morocco,0.1811,0.2658,0.5531,0.2.0+nogit,0-1,visita,0.5922,0.3032,True,0.9637,0.5839,1.0986
2026-06-20,Netherlands,Sweden,0.6052,0.2243,0.1706,0.2.0+nogit,5-1,local,0.5022,0.2353,True,0.9497,0.5733,1.0986
2026-06-20,Germany,Ivory Coast,0.4637,0.2767,0.2596,0.2.0+nogit,2-1,local,0.7685,0.4316,True,0.9444,0.5692,1.0986
