date,home,away,p_home,p_draw,p_away,model_version,result,outcome,log_loss,brier,hit,log_loss_acum,brier_acum,log_loss_uniforme
2026-06-11,South Korea,Czech Republic,0.445,0.269,0.286,0.2.0+nogit,2-1,local,0.8097,0.4622,True,0.8097,0.4622,1.0986
2026-06-11,Mexico,South Africa,0.6669,0.22,0.1131,0.2.0+nogit,2-0,local,0.4051,0.1721,True,0.6074,0.3172,1.0986
2026-06-12,Canada,Bosnia and Herzegovina,0.6658,0.2169,0.1173,0.2.0+nogit,1-1,empate,1.5283,1.0703,False,0.9144,0.5682,1.0986
2026-06-12,United States,Paraguay,0.3885,0.2744,0.3371,0.2.0+nogit,4-1,local,0.9455,0.5629,True,0.9221,0.5669,1.0986
2026-06-13,Qatar,Switzerland,0.1027,0.1963,0.701,0.2.0+nogit,1-1,empate,1.6281,1.1479,False,1.0633,0.6831,1.0986
2026-06-13,Australia,Turkey,0.359,0.2824,0.3586,0.2.0+nogit,2-0,local,1.0244,0.6192,True,1.0569,0.6724,1.0986
2026-06-13,Brazil,Morocco,0.336,0.2953,0.3687,0.2.0+nogit,1-1,empate,1.2198,0.7454,False,1.0801,0.6829,1.0986
2026-06-13,Haiti,Scotland,0.2949,0.266,0.4391,0.2.0+nogit,0-1,visita,0.823,0.4723,True,1.048,0.6565,1.0986
2026-06-14,Sweden,Tunisia,0.3505,0.2781,0.3713,0.2.0+nogit,5-1,local,1.0484,0.6371,False,1.048,0.6544,1.0986
2026-06-14,Netherlands,Japan,0.3239,0.2818,0.3942,0.2.0+nogit,2-2,empate,1.2666,0.7761,False,1.0699,0.6666,1.0986
2026-06-14,Ivory Coast,Ecuador,0.236,0.3154,0.4486,0.2.0+nogit,1-0,local,1.4439,0.8844,False,1.1039,0.6864,1.0986
2026-06-14,Germany,Curaçao,0.6937,0.1963,0.11,0.2.0+nogit,7-1,local,0.3657,0.1445,True,1.0424,0.6412,1.0986
2026-06-15,Saudi Arabia,Uruguay,0.1815,0.2849,0.5336,0.2.0+nogit,1-1,empate,1.2556,0.829,False,1.0588,0.6556,1.0986
2026-06-15,Spain,Cape Verde,0.7682,0.1666,0.0652,0.2.0+nogit,0-0,empate,1.7922,1.2889,False,1.1112,0.7009,1.0986
2026-06-15,Belgium,Egypt,0.4759,0.2807,0.2434,0.2.0+nogit,1-1,empate,1.2705,0.8031,False,1.1218,0.7077,1.0986
2026-06-15,Iran,New Zealand,0.5331,0.2559,0.211,0.2.0+nogit,2-2,empate,1.363,0.8824,False,1.1369,0.7186,1.0986
2026-06-16,France,Senegal,0.4641,0.2729,0.263,0.2.0+nogit,3-1,local,0.7677,0.4308,True,1.1151,0.7017,1.0986
2026-06-16,Austria,Jordan,0.4826,0.2652,0.2523,0.2.0+nogit,3-1,local,0.7286,0.4017,True,1.0937,0.685,1.0986
2026-06-16,Argentina,Algeria,0.5556,0.2658,0.1786,0.2.0+nogit,3-0,local,0.5877,0.3,True,1.067,0.6648,1.0986
2026-06-16,Iraq,Norway,0.1787,0.2589,0.5624,0.2.0+nogit,1-4,visita,0.5755,0.2905,True,1.0425,0.646,1.0986
2026-06-17,Ghana,Panama,0.2353,0.265,0.4997,0.2.0+nogit,1-0,local,1.4469,0.9047,False,1.0617,0.6584,1.0986
2026-06-17,Uzbekistan,Colombia,0.1956,0.2656,0.5388,0.2.0+nogit,1-3,visita,0.6184,0.3215,True,1.0416,0.6431,1.0986
2026-06-17,Portugal,DR Congo,0.5463,0.272,0.1817,0.2.0+nogit,1-1,empate,1.302,0.8614,False,1.0529,0.6525,1.0986
2026-06-17,England,Croatia,0.4817,0.2792,0.2391,0.2.0+nogit,4-2,local,0.7304,0.4038,True,1.0395,0.6422,1.0986
2026-06-18,Czech Republic,South Africa,0.4429,0.2808,0.2764,0.2.0+nogit,1-1,empate,1.2701,0.7898,False,1.0487,0.6481,1.0986
2026-06-18,Mexico,South Korea,0.5253,0.2584,0.2162,0.2.0+nogit,1-0,local,0.6438,0.3389,True,1.0331,0.6362,1.0986
2026-06-18,Switzerland,Bosnia and Herzegovina,0.6289,0.2298,0.1413,0.2.0+nogit,4-1,local,0.4638,0.2105,True,1.012,0.6204,1.0986
2026-06-18,Canada,Qatar,0.7345,0.1818,0.0837,0.2.0+nogit,6-0,local,0.3086,0.1105,True,0.9869,0.6022,1.0986
2026-06-19,Scotland,Morocco,0.1811,0.2658,0.5531,0.2.0+nogit,0-1,visita,0.5922,0.3032,True,0.9733,0.5919,1.0986
2026-06-19,Turkey,Paraguay,0.3892,0.2876,0.3233,0.2.0+nogit,0-1,visita,1.1292,0.6921,False,0.9785,0.5952,1.0986
2026-06-19,United States,Australia,0.3555,0.2697,0.3748,0.2.0+nogit,2-0,local,1.0342,0.6286,False,0.9803,0.5963,1.0986
2026-06-19,Brazil,Haiti,0.6385,0.2166,0.1448,0.2.0+nogit,3-0,local,0.4486,0.1986,True,0.9637,0.5839,1.0986
2026-06-20,Netherlands,Sweden,0.6052,0.2243,0.1706,0.2.0+nogit,5-1,local,0.5022,0.2353,True,0.9497,0.5733,1.0986
2026-06-20,Tunisia,Japan,0.1565,0.2557,0.5878,0.2.0+nogit,0-4,visita,0.5314,0.2598,True,0.9374,0.5641,1.0986
2026-06-20,Ecuador,Curaçao,0.6621,0.2303,0.1075,0.2.0+nogit,0-0,empate,1.4684,1.0424,False,0.9526,0.5778,1.0986
2026-06-20,Germany,Ivory Coast,0.4637,0.2767,0.2596,0.2.0+nogit,2-1,local,0.7685,0.4316,True,0.9474,0.5737,1.0986
2026-06-21,Uruguay,Cape Verde,0.5789,0.2645,0.1566,0.2.0+nogit,2-2,empate,1.3299,0.9006,False,0.9578,0.5825,1.0986
2026-06-21,Spain,Saudi Arabia,0.7305,0.1893,0.0802,0.2.0+nogit,4-0,local,0.314,0.1149,True,0.9408,0.5702,1.0986
2026-06-21,Belgium,Iran,0.3994,0.276,0.3246,0.2.0+nogit,0-0,empate,1.2874,0.7891,False,0.9497,0.5758,1.0986
2026-06-21,New Zealand,Egypt,0.2793,0.2887,0.4319,0.2.0+nogit,1-3,visita,0.8396,0.4841,True,0.947,0.5736,1.0986
2026-06-22,Jordan,Algeria,0.2142,0.2496,0.5362,0.2.0+nogit,1-2,visita,0.6232,0.3233,True,0.9391,0.5674,1.0986
2026-06-22,Argentina,Austria,0.595,0.2534,0.1516,0.2.0+nogit,2-0,local,0.5192,0.2512,True,0.9291,0.5599,1.0986
2026-06-22,Norway,Senegal,0.3822,0.2785,0.3393,0.2.0+nogit,3-2,local,0.9618,0.5744,True,0.9298,0.5603,1.0986
2026-06-22,France,Iraq,0.6346,0.2361,0.1293,0.2.0+nogit,3-0,local,0.4548,0.206,True,0.919,0.5522,1.0986
2026-06-23,Portugal,Uzbekistan,0.5355,0.2667,0.1979,0.2.0+nogit,5-0,local,0.6246,0.3261,True,0.9125,0.5472,1.0986
2026-06-23,Colombia,DR Congo,0.5498,0.2707,0.1795,0.2.0+nogit,1-0,local,0.5982,0.3082,True,0.9057,0.542,1.0986
2026-06-23,Panama,Croatia,0.2545,0.2641,0.4814,0.2.0+nogit,0-1,visita,0.7311,0.4035,True,0.9019,0.539,1.0986
2026-06-23,England,Ghana,0.705,0.2056,0.0894,0.2.0+nogit,0-0,empate,1.5818,1.1361,False,0.9161,0.5515,1.0986
2026-06-24,Scotland,Brazil,0.193,0.2425,0.5645,0.2.0+nogit,0-3,visita,0.5718,0.2857,True,0.9091,0.5461,1.0986
2026-06-24,Morocco,Haiti,0.6282,0.2365,0.1352,0.2.0+nogit,4-2,local,0.4649,0.2124,True,0.9002,0.5394,1.0986
2026-06-24,Mexico,Czech Republic,0.6111,0.2296,0.1593,0.2.0+nogit,3-0,local,0.4925,0.2293,True,0.8922,0.5333,1.0986
2026-06-24,South Africa,South Korea,0.2111,0.2709,0.518,0.2.0+nogit,1-0,local,1.5554,0.9641,False,0.905,0.5416,1.0986
2026-06-24,Canada,Switzerland,0.4061,0.2781,0.3158,0.2.0+nogit,1-2,visita,1.1526,0.7104,False,0.9096,0.5448,1.0986
2026-06-24,Bosnia and Herzegovina,Qatar,0.431,0.2791,0.2899,0.2.0+nogit,3-1,local,0.8416,0.4857,True,0.9084,0.5437,1.0986
2026-06-25,Curaçao,Ivory Coast,0.1727,0.2508,0.5766,0.2.0+nogit,0-2,visita,0.5506,0.272,True,0.9019,0.5387,1.0986
